,label_name,label_address,label_city,label_postalzip,label_state,label_phone,test_name,test_address,test_city,test_postalzip,test_state,test_phone
12001,Vestibulum Accumsan Neque Consulting,6037 Nulla St.,Olympia,56179,KS,3040776287,Vestibulum Accumsan Neque Consulting,6037 Nulla St.,Olympia,56179,KS,3040776287
10297,Pede Limited,740-5881 Facilisis St.,Lewiston,12737,KS,3987433483,Psejmitc,07-58 8aFcilisist.,eaisfon,12773,SK,938
7751,Pede Limited,740-5881 Facilisis St.,Lewiston,12737,KS,3987433483,Pred Lmietd,74-0518 FcilsixSt.,Lswisofj,173,KS,3874348
2593,Euismod Mauris Company,"P.O. Box 564, 3029 Cum Avenue",New Haven,11088,NE,5088427862,Euuaomd aMr iComoayn,"P.OoBx 564, 3029 CuQ venue",NewU agdn,1108,E,05847862
5747,Euismod Mauris Company,"P.O. Box 564, 3029 Cum Avenue",New Haven,11088,NE,5088427862,Euwomd,PO. xB 56 0 Cmj Avneye,Hwe Hvnw,1188,NE,50
17215,Ac Mattis Semper LLC,"P.O. Box 316, 9413 Gravida Rd.",Aurora,82125,MN,2267735838,Ac Mattis Semper LLC,"P.O. Box 316, 9413 Gravida Rd.",Aurora,82125,MN,2267735838
11564,Vestibulum Accumsan Neque Consulting,6037 Nulla St.,Olympia,56179,KS,3040776287,VetsvkuoAccumasn eNqei onsutun,63N7lula D.,Pomk,567,IA,30407287
10833,Erat Corp.,319-6032 Egestas Av.,Norman,73746,MS,5324284411,Erat Corp.,319-6032 Egestas Av.,Norman,73746,MS,5324284411
2799,Ac Nulla Consulting,305-5693 Aenean Av.,Saint Louis,83215,OH,3577781631,AcNluaC osnhoihg,305-59 nAen,Saint oL,321,H,57771631
5097,Risus Donec Associates,110-522 Quam Av.,Pocatello,25265,WI,4852616833,Risus Donec Associates,110-522 Quam Av.,Pocatello,25265,WI,4852616833
